mot
amour
amante
amant
ardeur
ardeurs
passion
passions
extase
extases
ivresse
ivresse des sentiments
tendresse
tendresses
élan
élans
baiser
baisers
embrasser
étreinte
étreintes
soupir
soupirs
flamme
flammes
ferveur
ferveurs
ardeur amoureuse
transport
transports amoureux
émotion
émotions
dévouement
dévotion amoureuse
fidélité
fidélités
serment d’amour
serments
serment éternel
âme sœur
élue
élu
attachement profond
désir
désirs
adoration
adorer
brûlure du cœur
poignante douceur
déchirure du cœur
tourment amoureux
épanchement
confidences
confidence tendre
aveu d’amour
aveux
charme
charmes
grâce aimée
idéal féminin
idéal masculin
beauté idolâtrée
beauté pure
figure aimée
regard passionné
regard brûlant
regard tendre
souffle amoureux
souffle troublé
appel du cœur
cœur exalté
cœur blessé
cœur arraché
cœur fidèle
cœur livré
cœur tourmenté
élan sublime
charme secret
ardeur sincère
ferveur intime
dévouement total
amour impossible
amour sacré
amour condamné
amour absolu
amour infini
amour tragique
amour héroïque
amour dévoué
amour interdit
amour pur
amour céleste
flamme éternelle
flamme sacrée
flamme dévorante
embrasement
transport sublime
jalousie noble
jalousie tourmentée
désir vibrant
ardeur brûlante
élan amoureux
ardeur héroïque
serment solennel
union mystique
union sacrée
union des âmes
fidélité éternelle
passion déchirante
passion héroïque
passion noble
fougue
fougues
fougue amoureuse
charme irrésistible
regard ému
voix tremblante
mot tendre
mot brûlant
lettre d’amour
lettres passionnées
déclaration ardente
déclaration enflammée
aveux sincères
aveu brûlant
souvenir d’amour
souvenir tendre
rêverie amoureuse
attente poignante
attente fébrile
douleur d'aimer
délices d'aimer
trouble doux
trouble poignant
trouble brûlant
ferveur sacrée
ardeur sacrée
élan du cœur
transport du cœur
élan passionné
espérance amoureuse
nostalgie amoureuse
adoration fervente
adoration pure
adoration exaltée
pleurs d'amour
larmes tendres
larmes passionnées
fidélité immuable
fidélité passionnée
cœur enflammé
âme passionnée
âme enivrée
âme livrée
âme tremblante
âme embrasée
âme rêveuse
âme blessée
âme exaltée
transport amoureux
exaltation
exaltation amoureuse
pitié tendre
charme ineffable
sourire adorable
voix adorée
silence amoureux
frisson tendre
frisson brûlant
ardeur du cœur
pureté amoureuse
idéalisation
idéal aimant
fidélité pure
vœu d’amour
vœux ardents
souvenir brûlant
ravissement
ravissements amoureux
extase douce
extase amoureuse
transport extatique
passion absolue
ferveur profonde
adoration totale
