mot
fantastique
onirique
imaginaire
vision
visions
apparition
apparitions
spectre
spectres
fantôme
fantômes
ombre mouvante
ombres mouvantes
mirage
mirages
illusion
illusions
chimère
chimères
rêve
rêves
songe
songes
songe visionnaire
songe étrange
songe ardent
rêverie
rêveries
hallucination
hallucinations
extase visionnaire
extases mystiques
transe douce
transe mystique
transport mystique
monde invisible
invisible
invisible sacré
merveilleux
merveilleux sombre
merveilleux lumineux
enchantement
enchantements
envoûtement
envoûtements
féerie
féeries
magie douce
magie obscure
charme surnaturel
force mystérieuse
mystère
mystères
secret nocturne
secret profond
présage
présages
pressentiment
pressentiments
souffle mystérieux
souffle nocturne
souffle surnaturel
tremblement de l’invisible
voix intérieure
voix secrète
voix mystérieuse
voix nocturne
signal secret
signe mystérieux
signe du destin
geste prophétique
prophétie
prophéties
oracle
oracles
lueur étrange
lueurs étranges
lueur spectrale
lumière irréelle
lumière spectrale
éclat surnaturel
éclats surnaturels
ombre fantastique
ombre irréelle
ombre flottante
ombre vivante
ombre profonde
esprit
esprits
esprit errant
force occulte
puissances occultes
entité
entités
présence invisible
présence voilée
présence étrange
présence silencieuse
souffle de l’autre monde
souffle d’outre-tombe
frisson mystérieux
frisson surnaturel
frisson sacré
monde caché
monde intérieur
royaume des songes
royaume nocturne
royaume invisible
paysage imaginaire
contrée lointaine
contrée irréelle
vision obscure
vision lumineuse
vision intérieure
rêve éveillé
rêve flottant
rêve brisé
fuite dans le rêve
échappée onirique
horizon fantastique
monde rêvé
monde chimérique
monde illusoire
voix de l’invisible
trace mystérieuse
trace spectrale
signe nocturne
astres secrets
ciel irréel
lumière d’un autre monde
métamorphose
métamorphoses
transfiguration
transfigurations
élan visionnaire
perception mystique
regard halluciné
regard transfigurant
âme visionnaire
âme illuminée
âme transportée
âme enchantée
âme mystérieuse
souffle onirique
sensation flottante
sensation visionnaire
battement du mystère
secret des ombres
ombre dédoublée
double spectral
double invisible
