mot
élan
exaltation
exalté
exaltée
exaltés
transport
transports
ardeur
ardeur vive
ardeurs
intensité
intensités
émotion puissante
émotions vives
tempérament fougueux
fougue
fougues
ferveur
ferveurs
enthousiasme
enthousiasmes
ivresse intérieure
ivresse ardente
flamme intime
feu intérieur
feu du cœur
flamboiement
flamboiements
élan vital
vibration
vibrations
frémissement
frémissements
éblouissement
éblouissements
élan spirituel
élan sacré
souffle inspiré
souffle ardent
pulsion noble
pulsions intérieures
emportement
emportements
abandon de soi
abandon exalté
intensité de l’âme
force du cœur
puissance intime
puissance du sentiment
transport brûlant
ardeur sublime
élan fougueux
cri du cœur
cri exalté
cri passionné
voix ardente
tremblement sacré
tremblement vif
fièvre du cœur
fièvre intime
fièvre sentimentale
éblouissement de l’âme
trouble exalté
ardeur vibrante
courage ardent
héroïsme intime
héroïsme du cœur
feu héroïque
flamme héroïque
noblesse du cœur
exaltation sublime
transport intérieur
ivre d’émotion
ivre de passion
ivresse noble
ivresse exaltée
élan impétueux
impétuosité
ardeur impétueuse
emportement noble
transport poétique
souffle passionné
souffle poétique
force de l’esprit
élan poétique
palpitation
palpitations
palpitement du cœur
cœur en feu
cœur vibrant
cœur exalté
âme en feu
âme ardente
âme vibrante
âme exaltée
âme passionnée
âme héroïque
âme embrasée
âme lumineuse
âme palpitante
sentiment ardent
sentiment sublime
sentiment élevé
sentiment noble
transport romantique
fièvre romantique
feu poétique
exaltation du soir
lumière intérieure
éblouissement sentimental
ardeur créatrice
impulsion créatrice
souffle créateur
puissance de vivre
aspiration sublime
aspiration ardente
aspiration du cœur
sentiment éclatant
sentiment brûlant
cœur impétueux
cœur illuminé
cœur héroïque
vibration intérieure
brûlure du sentiment
enthousiasme poétique
ferveur exaltée
transport sacré
intensité sacrée
